2026-03-11 19:27:31,302 [INFO] CommandDeck Agent starting
2026-03-11 19:27:31,302 [INFO]   Queue:  http://192.168.4.148:8090
2026-03-11 19:27:31,302 [INFO]   Relay:  http://192.168.4.47:8099
2026-03-11 19:27:31,302 [INFO]   Model:  claude-opus-4-5
2026-03-11 19:27:31,302 [INFO]   Poll:   10s
2026-03-11 19:35:37,673 [INFO] CommandDeck Agent starting
2026-03-11 19:35:37,673 [INFO]   Queue:  http://192.168.4.148:8090
2026-03-11 19:35:37,673 [INFO]   Relay:  http://192.168.4.47:8099
2026-03-11 19:35:37,673 [INFO]   Model:  claude-opus-4-5
2026-03-11 19:35:37,673 [INFO]   Poll:   10s
2026-03-11 19:45:48,626 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:45:49,804 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:46:08,666 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:46:08,666 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:46:28,712 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:46:28,712 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:46:33,692 [ERROR] Loop error: None
2026-03-11 19:47:10,622 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:47:30,652 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:47:30,652 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:47:50,692 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:10,821 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:10,821 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:15,845 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:15,845 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:20,863 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:20,863 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:35,898 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:48:55,936 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:49:16,033 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:49:36,062 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:49:36,078 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:49:56,103 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:50:16,184 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:50:36,211 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:50:36,227 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:50:56,260 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Read timed out. (read timeout=5)
2026-03-11 19:52:30,040 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E2E40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:30,049 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DD6A80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:32,110 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/queue/next (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E0470>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:32,119 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/queue/next (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DD6D80>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:34,164 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DED5B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:34,180 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E1BE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:46,242 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DEF380>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:46,243 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E3B90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:48,307 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/queue/next (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DFE0C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:48,319 [ERROR] Loop error: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/queue/next (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E0050>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:50,368 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E3980>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:52:50,382 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DFF260>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:53:02,437 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E258DEEB40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-03-11 19:53:02,448 [WARNING] Heartbeat failed: HTTPConnectionPool(host='192.168.4.148', port=8090): Max retries exceeded with url: /api/claude/heartbeat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000022CA29E1D60>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
